Unnamed: 0,player_id,Season,Date,Left,Joined,MV,Fee
1914,569349,20/21,"Oct4,2020",LyngbyBK,FCAugsburg,€700k,€1.30m
1915,569349,19/20,"Jul1,2019",LyngbyBKU19,LyngbyBK,€50k,-
1916,569349,18/19,"Jul1,2018",LyngbyBKYouth,LyngbyBKU19,-,-
1917,520468,19/20,"Jul1,2019",Internacional,FCAugsburg,€2.00m,€6.50m
1918,520468,16/17,"Jan1,2017",InterU20,Internacional,-,-
1919,288429,19/20,"Jun30,2020",FCZürich,FCAugsburg,€725k,Endofloan
1920,288429,19/20,"Jan30,2020",FCAugsburg,FCZürich,€900k,loantransfer
1921,288429,19/20,"Jul1,2019",Nordsjaelland,FCAugsburg,€900k,€800k
1922,288429,15/16,"Jul1,2015",Nordsjaell.U19,Nordsjaelland,-,-
1923,522245,21/22,"Jul1,2021",FCBayernU19,FCAugsburg,€1.00m,freetransfer
1924,522245,19/20,"Jul1,2019",FCBayernU17,FCBayernU19,-,-
1925,522245,18/19,"Jul1,2018",FCBayernU16,FCBayernU17,-,-
1926,522245,17/18,"Jul1,2017",B.MünchenYth.,FCBayernU16,-,-
1927,522245,16/17,"Jul1,2016",AugsburgYth.,B.MünchenYth.,-,freetransfer
1928,353826,20/21,"Sep2,2020",LechPoznan,FCAugsburg,€3.50m,€2.00m
1929,353826,16/17,"Jun30,2017",Podbeskidzie,LechPoznan,€175k,Endofloan
1930,353826,16/17,"Jan6,2017",LechPoznan,Podbeskidzie,€100k,loantransfer
1931,353826,15/16,"Jul1,2016",LechU19,LechPoznan,€50k,-
1932,251302,21/22,"Jul8,2021",KAAGent,FCAugsburg,€8.00m,€7.00m
1933,251302,20/21,"Jul22,2020",1.FCHeidenheim,KAAGent,€6.00m,€3.50m
1934,251302,18/19,"Jul1,2018",BayernMunich,1.FCHeidenheim,€400k,freetransfer
1935,251302,16/17,"Jul1,2016",FCBayernII,BayernMunich,€75k,-
1936,251302,15/16,"Jul1,2015",FCBayernU17,FCBayernII,-,-
1937,189475,19/20,"Jul2,2019",Dallas,FCAugsburg,€2.00m,€5.50m
1938,189475,15/16,"Jan23,2016",VfBStuttgart,Dallas,€2.00m,€1.50m
1939,57845,20/21,"Jul1,2020",Bor.M'gladbach,FCAugsburg,€3.50m,freetransfer
1940,57845,16/17,"Jul1,2016",TSGHoffenheim,Bor.M'gladbach,€2.00m,freetransfer
1941,664973,20/21,"Jul1,2020",FCAugsburgU17,FCAugsburgU19,-,-
1942,664973,19/20,"Jul1,2019",AugsburgYth.,FCAugsburgU17,-,-
1943,664973,15/16,"Jul1,2015",TSV1860Yth.,AugsburgYth.,-,freetransfer
1944,296397,21/22,"Jun30,2022",FCAugsburg,HerthaBSC,€5.50m,Endofloan
1945,296397,21/22,"Aug9,2021",HerthaBSC,FCAugsburg,€7.00m,Loanfee:€500k
1946,296397,20/21,"Jun30,2021",Arm.Bielefeld,HerthaBSC,€7.00m,Endofloan
1947,296397,20/21,"Oct5,2020",HerthaBSC,Arm.Bielefeld,€13.50m,Loanfee:€500k
1948,296397,17/18,"Jul1,2017",HerthaBSCU19,HerthaBSC,-,-
1949,296397,16/17,"Jul1,2016",HerthaBSCU17,HerthaBSCU19,-,-
1950,588747,21/22,"Jul1,2021",FCAugsburgII,FCAugsburg,€300k,-
1951,588747,20/21,"Aug28,2020",FCAugsburgU19,FCAugsburgII,-,-
1952,588747,19/20,"Jul1,2019",FCAugsburgU17,FCAugsburgU19,-,-
1953,588747,18/19,"Jul1,2018",AugsburgYth.,FCAugsburgU17,-,-
1954,588747,15/16,"Jul1,2015",GlonntalJgd.,AugsburgYth.,-,freetransfer
1955,476498,20/21,"Jul1,2020",FCAugsburgU19,FCAugsburgII,-,-
1956,476498,18/19,"Jul1,2018",FCAugsburgU17,FCAugsburgU19,-,-
1957,476498,17/18,"Jul1,2017",AugsburgYth.,FCAugsburgU17,-,-
1958,476498,16/17,"Jul1,2016",B.MünchenYth.,AugsburgYth.,-,freetransfer
1959,249157,18/19,"Jul1,2018",TwenteFC,FCAugsburg,€2.00m,€3.00m
1960,249157,16/17,"Jul1,2016",FCTwenteU19,TwenteFC,€100k,-
1961,345886,19/20,"Jul1,2019",FCLuzern,FCAugsburg,€4.00m,€4.00m
1962,345886,17/18,"Jul1,2017",LuzernU21,FCLuzern,-,-
1963,345886,16/17,"Jul1,2016",LuzernU18,LuzernU21,-,-
